Log_ID,Timestamp,Date,Time,Severity,Component,Block_ID,Source_IP,Destination_IP,Message,Label_Anomaly,Raw_Log
12,2008-11-09T20:48:15Z,2008-11-09,20:48:15,INFO,dfs.DataNode$DataXceiver,blk_5792489080791696128,10.251.30.6:33145,10.251.30.6:50010,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,Normal,081109 204815 653 INFO dfs.DataNode$DataXceiver: Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010
13,2008-11-09T20:48:42Z,2008-11-09,20:48:42,INFO,dfs.DataNode$DataXceiver,blk_1724757848743533110,10.251.111.130:49851,10.251.111.130:50010,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,Normal,081109 204842 663 INFO dfs.DataNode$DataXceiver: Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010
14,2008-11-09T20:49:08Z,2008-11-09,20:49:08,INFO,dfs.FSNamesystem,blk_8015913224713045110,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,Normal,081109 204908 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864
15,2008-11-09T20:49:25Z,2008-11-09,20:49:25,INFO,dfs.DataNode$DataXceiver,blk_-5623176793330377570,10.251.75.228:53725,10.251.75.228:50010,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,Normal,081109 204925 673 INFO dfs.DataNode$DataXceiver: Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010
16,2008-11-09T20:50:35Z,2008-11-09,20:50:35,INFO,dfs.FSNamesystem,blk_-1727475099218615100,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,Normal,081109 205035 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100
17,2008-11-09T20:50:56Z,2008-11-09,20:50:56,INFO,dfs.DataNode$PacketResponder,blk_5017373558217225674,10.250.19.225,10.250.19.225:50010,PacketResponder 1 for block blk_5017373558217225674 terminating,Normal,081109 205056 710 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_5017373558217225674 terminating
18,2008-11-09T20:51:57Z,2008-11-09,20:51:57,INFO,dfs.DataNode$PacketResponder,blk_9212264480425680329,10.250.19.225,10.250.19.225:50010,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,Normal,081109 205157 752 INFO dfs.DataNode$PacketResponder: Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1
19,2008-11-09T20:53:15Z,2008-11-09,20:53:15,INFO,dfs.FSNamesystem,blk_-7878121102358435702,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,Normal,081109 205315 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702
20,2008-11-09T20:54:09Z,2008-11-09,20:54:09,INFO,dfs.FSNamesystem,blk_4568434182693165548,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,Normal,081109 205409 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864
21,2008-11-09T20:54:12Z,2008-11-09,20:54:12,INFO,dfs.DataNode$PacketResponder,blk_-5704899712662113150,10.250.19.225,10.250.19.225:50010,Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,Normal,081109 205412 832 INFO dfs.DataNode$PacketResponder: Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229
22,2008-11-09T20:56:32Z,2008-11-09,20:56:32,INFO,dfs.FSNamesystem,blk_-4794867979917102672,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,Normal,081109 205632 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864
23,2008-11-09T20:57:39Z,2008-11-09,20:57:39,INFO,dfs.FSNamesystem,blk_8763662564934652249,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,Normal,081109 205739 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864
24,2008-11-09T20:57:42Z,2008-11-09,20:57:42,INFO,dfs.DataNode$PacketResponder,blk_-5861636720645142679,10.250.19.225,10.250.19.225:50010,Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,Normal,081109 205742 1001 INFO dfs.DataNode$PacketResponder: Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211
25,2008-11-09T20:57:46Z,2008-11-09,20:57:46,INFO,dfs.FSNamesystem,blk_7453815855294711849,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,Normal,081109 205746 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864
26,2008-11-09T20:57:49Z,2008-11-09,20:57:49,INFO,dfs.DataNode$DataXceiver,blk_-28342503914935090,10.251.123.132:57542,10.251.123.132:50010,Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,Normal,081109 205749 997 INFO dfs.DataNode$DataXceiver: Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010
27,2008-11-09T20:57:54Z,2008-11-09,20:57:54,INFO,dfs.DataNode$PacketResponder,blk_8291449241650212794,10.250.19.225,10.250.19.225:50010,Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,Normal,081109 205754 952 INFO dfs.DataNode$PacketResponder: Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155
28,2008-11-09T20:58:58Z,2008-11-09,20:58:58,INFO,dfs.FSNamesystem,blk_-5319073033164653435,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,Normal,081109 205858 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435
29,2008-11-09T20:59:31Z,2008-11-09,20:59:31,INFO,dfs.DataBlockScanner,blk_-4980916519894289629,10.250.19.225,10.250.19.225:50010,Verification succeeded for blk_-4980916519894289629,Normal,081109 205931 13 INFO dfs.DataBlockScanner: Verification succeeded for blk_-4980916519894289629
30,2008-11-09T21:00:22Z,2008-11-09,21:00:22,INFO,dfs.DataNode$PacketResponder,blk_-5974833545991408899,10.250.19.225,10.250.19.225:50010,Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,Normal,081109 210022 1110 INFO dfs.DataNode$PacketResponder: Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180
31,2008-11-09T21:00:37Z,2008-11-09,21:00:37,INFO,dfs.DataNode$DataXceiver,blk_-5009020203888190378,10.251.199.19:52622,10.251.199.19:50010,Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,Normal,081109 210037 1084 INFO dfs.DataNode$DataXceiver: Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010
32,2008-11-09T21:02:48Z,2008-11-09,21:02:48,INFO,dfs.DataNode$PacketResponder,blk_6921674711959888070,10.250.19.225,10.250.19.225:50010,Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,Normal,081109 210248 1138 INFO dfs.DataNode$PacketResponder: Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203
33,2008-11-09T21:04:07Z,2008-11-09,21:04:07,INFO,dfs.FSNamesystem,blk_5165786360127153975,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,Normal,081109 210407 33 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864
34,2008-11-09T21:04:58Z,2008-11-09,21:04:58,INFO,dfs.DataNode$DataXceiver,blk_2937758977269298350,10.251.194.129:37476,10.251.194.129:50010,Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,Normal,081109 210458 1278 INFO dfs.DataNode$DataXceiver: Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010
35,2008-11-09T21:05:51Z,2008-11-09,21:05:51,INFO,dfs.FSNamesystem,blk_673825774073966710,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,Normal,081109 210551 32 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864
36,2008-11-09T21:06:37Z,2008-11-09,21:06:37,INFO,dfs.DataNode$PacketResponder,blk_-7526945448667194862,10.250.19.225,10.250.19.225:50010,Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,Normal,081109 210637 1283 INFO dfs.DataNode$PacketResponder: Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80
37,2008-11-09T21:06:56Z,2008-11-09,21:06:56,INFO,dfs.DataNode$PacketResponder,blk_-2094397855762091248,10.250.19.225,10.250.19.225:50010,Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,Normal,081109 210656 1334 INFO dfs.DataNode$PacketResponder: Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83
38,2008-11-09T21:07:12Z,2008-11-09,21:07:12,INFO,dfs.DataNode$PacketResponder,blk_-8523968015014407246,10.250.19.225,10.250.19.225:50010,Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,Normal,081109 210712 1333 INFO dfs.DataNode$PacketResponder: Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225
39,2008-11-09T21:07:43Z,2008-11-09,21:07:43,INFO,dfs.FSNamesystem,blk_8181993091797661153,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,Normal,081109 210743 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864
40,2008-11-09T21:08:01Z,2008-11-09,21:08:01,INFO,dfs.DataNode$DataXceiver,blk_-6276023454199613372,10.251.65.237:34085,10.251.65.237:50010,Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,Normal,081109 210801 1357 INFO dfs.DataNode$DataXceiver: Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010
41,2008-11-09T21:08:07Z,2008-11-09,21:08:07,INFO,dfs.DataNode$PacketResponder,blk_4755566011267050000,10.250.19.225,10.250.19.225:50010,Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,Normal,081109 210807 1408 INFO dfs.DataNode$PacketResponder: Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79
42,2008-11-09T21:08:12Z,2008-11-09,21:08:12,INFO,dfs.DataNode$PacketResponder,blk_-3909548841543565741,10.250.19.225,10.250.19.225:50010,Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,Normal,081109 210812 1395 INFO dfs.DataNode$PacketResponder: Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33
43,2008-11-09T21:09:21Z,2008-11-09,21:09:21,INFO,dfs.DataNode$DataXceiver,blk_-6809181994368905854,10.250.17.225:51754,10.250.17.225:50010,Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,Normal,081109 210921 1452 INFO dfs.DataNode$DataXceiver: Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010
44,2008-11-09T21:09:35Z,2008-11-09,21:09:35,INFO,dfs.DataNode$PacketResponder,blk_8829027411458566099,10.250.19.225,10.250.19.225:50010,Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,Normal,081109 210935 1458 INFO dfs.DataNode$PacketResponder: Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214
45,2008-11-09T21:10:29Z,2008-11-09,21:10:29,INFO,dfs.FSNamesystem,blk_-29548654251973735,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864,Normal,081109 211029 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864
46,2008-11-09T21:10:38Z,2008-11-09,21:10:38,INFO,dfs.DataNode$PacketResponder,blk_-5073870177832699716,10.250.19.225,10.250.19.225:50010,PacketResponder 1 for block blk_-5073870177832699716 terminating,Normal,081109 211038 1490 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-5073870177832699716 terminating
47,2008-11-09T21:12:16Z,2008-11-09,21:12:16,INFO,dfs.DataNode$PacketResponder,blk_-8241093737585222406,10.250.19.225,10.250.19.225:50010,Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,Normal,081109 211216 1504 INFO dfs.DataNode$PacketResponder: Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161
48,2008-11-09T21:13:01Z,2008-11-09,21:13:01,INFO,dfs.FSNamesystem,blk_-2480595760294717232,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864,Normal,081109 211301 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864
49,2008-11-09T21:13:53Z,2008-11-09,21:13:53,INFO,dfs.DataNode$PacketResponder,blk_7791237942696729620,10.250.19.225,10.250.19.225:50010,PacketResponder 0 for block blk_7791237942696729620 terminating,Normal,081109 211353 1574 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_7791237942696729620 terminating
50,2008-11-09T21:14:03Z,2008-11-09,21:14:03,INFO,dfs.FSNamesystem,blk_2113880130496815041,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917,Normal,081109 211403 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917
51,2008-11-09T21:14:53Z,2008-11-09,21:14:53,INFO,dfs.DataNode$PacketResponder,blk_1064470652608359218,10.250.19.225,10.250.19.225:50010,Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242,Normal,081109 211453 1623 INFO dfs.DataNode$PacketResponder: Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242
52,2008-11-09T21:15:28Z,2008-11-09,21:15:28,INFO,dfs.FSNamesystem,blk_-1661553043410372067,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864,Normal,081109 211528 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864
53,2008-11-09T21:16:17Z,2008-11-09,21:16:17,INFO,dfs.DataNode$PacketResponder,blk_-1527267659500322006,10.250.19.225,10.250.19.225:50010,PacketResponder 1 for block blk_-1527267659500322006 terminating,Normal,081109 211617 1635 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-1527267659500322006 terminating
54,2008-11-09T21:19:18Z,2008-11-09,21:19:18,INFO,dfs.DataNode$PacketResponder,blk_4886940526690879848,10.250.19.225,10.250.19.225:50010,PacketResponder 1 for block blk_4886940526690879848 terminating,Normal,081109 211918 1777 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_4886940526690879848 terminating
55,2008-11-09T21:20:29Z,2008-11-09,21:20:29,INFO,dfs.DataNode$PacketResponder,blk_-2452477352812192142,10.250.19.225,10.250.19.225:50010,Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244,Normal,081109 212029 1814 INFO dfs.DataNode$PacketResponder: Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244
56,2008-11-09T21:22:19Z,2008-11-09,21:22:19,INFO,dfs.DataNode$PacketResponder,blk_-4229375751333894621,10.250.19.225,10.250.19.225:50010,PacketResponder 0 for block blk_-4229375751333894621 terminating,Normal,081109 212219 1885 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-4229375751333894621 terminating
57,2008-11-09T21:22:20Z,2008-11-09,21:22:20,INFO,dfs.DataNode$DataXceiver,blk_-774267833966018354,10.251.38.53:51057,10.251.38.53:50010,Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010,Normal,081109 212220 1946 INFO dfs.DataNode$DataXceiver: Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010
58,2008-11-09T21:22:45Z,2008-11-09,21:22:45,INFO,dfs.FSNamesystem,blk_2513940824125131775,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,Normal,081109 212245 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775
59,2008-11-09T21:23:17Z,2008-11-09,21:23:17,INFO,dfs.FSNamesystem,blk_-1282453782148343691,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691,Normal,081109 212317 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691
60,2008-11-09T21:23:38Z,2008-11-09,21:23:38,INFO,dfs.DataNode$PacketResponder,blk_-518701095493827363,10.250.19.225,10.250.19.225:50010,Received block blk_-518701095493827363 of size 67108864 from /10.251.214.67,Normal,081109 212338 2007 INFO dfs.DataNode$PacketResponder: Received block blk_-518701095493827363 of size 67108864 from /10.251.214.67
61,2008-11-09T21:24:03Z,2008-11-09,21:24:03,INFO,dfs.FSNamesystem,blk_-2530087534157630851,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-2530087534157630851 size 67108864,Normal,081109 212403 35 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-2530087534157630851 size 67108864
62,2008-11-09T21:24:40Z,2008-11-09,21:24:40,INFO,dfs.FSNamesystem,blk_427714267500527780,10.250.19.225,10.250.19.225:50010,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.196:50010 is added to blk_427714267500527780 size 67108864,Normal,081109 212440 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.196:50010 is added to blk_427714267500527780 size 67108864
63,2008-11-09T21:27:03Z,2008-11-09,21:27:03,INFO,dfs.DataNode$PacketResponder,blk_-967145856473901804,10.250.19.225,10.250.19.225:50010,Received block blk_-967145856473901804 of size 67108864 from /10.250.6.191,Normal,081109 212703 2053 INFO dfs.DataNode$PacketResponder: Received block blk_-967145856473901804 of size 67108864 from /10.250.6.191
64,2008-11-09T21:29:04Z,2008-11-09,21:29:04,INFO,dfs.DataNode$PacketResponder,blk_8408125361497769001,10.250.19.225,10.250.19.225:50010,Received block blk_8408125361497769001 of size 67108864 from /10.251.70.211,Normal,081109 212904 2174 INFO dfs.DataNode$PacketResponder: Received block blk_8408125361497769001 of size 67108864 from /10.251.70.211
65,2008-11-09T21:29:31Z,2008-11-09,21:29:31,INFO,dfs.DataNode$PacketResponder,blk_-1614641487214609125,10.250.19.225,10.250.19.225:50010,Received block blk_-1614641487214609125 of size 67108864 from /10.251.193.175,Normal,081109 212931 2211 INFO dfs.DataNode$PacketResponder: Received block blk_-1614641487214609125 of size 67108864 from /10.251.193.175
66,2008-11-09T21:30:09Z,2008-11-09,21:30:09,INFO,dfs.DataNode$PacketResponder,blk_7577595658377008671,10.250.19.225,10.250.19.225:50010,Received block blk_7577595658377008671 of size 67108864 from /10.251.71.97,Normal,081109 213009 2207 INFO dfs.DataNode$PacketResponder: Received block blk_7577595658377008671 of size 67108864 from /10.251.71.97
67,2008-11-09T21:30:28Z,2008-11-09,21:30:28,INFO,dfs.DataNode$PacketResponder,blk_3777400576053320362,10.250.19.225,10.250.19.225:50010,Received block blk_3777400576053320362 of size 67108864 from /10.251.31.5,Normal,081109 213028 2206 INFO dfs.DataNode$PacketResponder: Received block blk_3777400576053320362 of size 67108864 from /10.251.31.5
68,2008-11-09T21:32:17Z,2008-11-09,21:32:17,INFO,dfs.DataNode$PacketResponder,blk_-5852844080027817147,10.250.19.225,10.250.19.225:50010,PacketResponder 0 for block blk_-5852844080027817147 terminating,Normal,081109 213217 2267 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-5852844080027817147 terminating
69,2008-11-09T21:33:53Z,2008-11-09,21:33:53,INFO,dfs.DataNode$PacketResponder,blk_-2129171714384027465,10.250.19.225,10.250.19.225:50010,Received block blk_-2129171714384027465 of size 67108864 from /10.251.75.228,Normal,081109 213353 2313 INFO dfs.DataNode$PacketResponder: Received block blk_-2129171714384027465 of size 67108864 from /10.251.75.228
70,2008-11-09T21:34:36Z,2008-11-09,21:34:36,INFO,dfs.DataBlockScanner,blk_-2827716238972737794,10.250.19.225,10.250.19.225:50010,Verification succeeded for blk_-2827716238972737794,Normal,081109 213436 13 INFO dfs.DataBlockScanner: Verification succeeded for blk_-2827716238972737794
71,2008-11-09T21:35:06Z,2008-11-09,21:35:06,INFO,dfs.DataNode$DataXceiver,blk_-3509323198988774369,10.250.6.214:52922,10.250.6.214:50010,Receiving block blk_-3509323198988774369 src: /10.250.6.214:52922 dest: /10.250.6.214:50010,Normal,081109 213506 2421 INFO dfs.DataNode$DataXceiver: Receiving block blk_-3509323198988774369 src: /10.250.6.214:52922 dest: /10.250.6.214:50010
72,2008-11-09T21:35:10Z,2008-11-09,21:35:10,INFO,dfs.DataNode$PacketResponder,blk_9093049293972551787,10.250.19.225,10.250.19.225:50010,PacketResponder 0 for block blk_9093049293972551787 terminating,Normal,081109 213510 2384 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_9093049293972551787 terminating
